datetime,open,high,low,close,volume
2025-01-01 22:00:00,1.03515,1.03572,1.03487,1.03553,998
2025-01-01 23:00:00,1.03539,1.03566,1.03464,1.03508,2226
2025-01-02 00:00:00,1.03509,1.03565,1.03473,1.0352,2380
2025-01-02 01:00:00,1.03521,1.03607,1.03445,1.03577,4081
2025-01-02 02:00:00,1.03578,1.03714,1.03577,1.03709,2234
2025-01-02 03:00:00,1.03712,1.03742,1.03681,1.03716,1842
2025-01-02 04:00:00,1.03717,1.03756,1.03665,1.03693,1731
2025-01-02 05:00:00,1.03693,1.03707,1.03617,1.03639,1602
2025-01-02 06:00:00,1.03638,1.03651,1.036,1.03638,2403
2025-01-02 07:00:00,1.03636,1.03724,1.03624,1.03629,4000
2025-01-02 08:00:00,1.0363,1.03709,1.03463,1.03629,6613
2025-01-02 09:00:00,1.03629,1.03703,1.03494,1.03517,5208
2025-01-02 10:00:00,1.03515,1.03569,1.03138,1.03167,6372
2025-01-02 11:00:00,1.03166,1.03342,1.03152,1.03324,5537
2025-01-02 12:00:00,1.03323,1.03344,1.03148,1.03183,5697
2025-01-02 13:00:00,1.03182,1.03297,1.03112,1.03134,8402
2025-01-02 14:00:00,1.03134,1.03239,1.03023,1.0306,7736
2025-01-02 15:00:00,1.03037,1.03089,1.02726,1.02741,9338
2025-01-02 16:00:00,1.02741,1.02763,1.02241,1.02613,10333
2025-01-02 17:00:00,1.0261,1.02681,1.02513,1.02649,6463
2025-01-02 18:00:00,1.02653,1.02662,1.02557,1.02564,4257
2025-01-02 19:00:00,1.02564,1.02594,1.02478,1.02512,3469
2025-01-02 20:00:00,1.02511,1.02645,1.02507,1.02614,2504
2025-01-02 21:00:00,1.02613,1.02657,1.02613,1.02651,567
2025-01-02 22:00:00,1.02548,1.02661,1.02548,1.02645,2188
2025-01-02 23:00:00,1.02652,1.0268,1.02646,1.02678,1794
2025-01-03 00:00:00,1.02679,1.02735,1.02659,1.02729,2176
2025-01-03 01:00:00,1.02727,1.02727,1.02665,1.02675,2679
2025-01-03 02:00:00,1.02674,1.02746,1.02667,1.02724,2227
2025-01-03 03:00:00,1.02724,1.02745,1.02688,1.02707,1584
2025-01-03 04:00:00,1.02706,1.02709,1.02672,1.02696,1452
2025-01-03 05:00:00,1.02697,1.02735,1.02646,1.02718,1913
2025-01-03 06:00:00,1.02717,1.02793,1.02717,1.02792,1955
2025-01-03 07:00:00,1.02792,1.02847,1.02688,1.02808,5916
2025-01-03 08:00:00,1.02812,1.02881,1.02728,1.02804,5692
2025-01-03 09:00:00,1.02802,1.03,1.02802,1.02902,5195
2025-01-03 10:00:00,1.02905,1.02937,1.02792,1.02813,3705
2025-01-03 11:00:00,1.02814,1.03029,1.02813,1.02973,3829
2025-01-03 12:00:00,1.02971,1.0301,1.02942,1.02956,4273
2025-01-03 13:00:00,1.02959,1.03001,1.02914,1.02931,4571
